,Sample Name,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
0,A1,af_src001,A1,A1,2000,dest_plate,384PP_AQ_BP
1,A1,af_src001,A1,A2,2000,dest_plate,384PP_AQ_BP
2,A1,af_src001,A1,A3,2000,dest_plate,384PP_AQ_BP
3,A1,af_src001,A1,A4,2000,dest_plate,384PP_AQ_BP
4,A1,af_src001,A1,A5,2000,dest_plate,384PP_AQ_BP
5,A1,af_src001,A1,A6,2000,dest_plate,384PP_AQ_BP
6,A1,af_src001,A1,A7,2000,dest_plate,384PP_AQ_BP
7,A1,af_src001,A1,A8,2000,dest_plate,384PP_AQ_BP
8,A1,af_src001,A1,A9,2000,dest_plate,384PP_AQ_BP
9,A2,af_src001,A3,A10,2000,dest_plate,384PP_AQ_BP
10,A2,af_src001,A3,A11,2000,dest_plate,384PP_AQ_BP
11,A2,af_src001,A3,A12,2000,dest_plate,384PP_AQ_BP
12,A2,af_src001,A3,A13,2000,dest_plate,384PP_AQ_BP
13,A2,af_src001,A3,A14,2000,dest_plate,384PP_AQ_BP
14,A2,af_src001,A3,A15,2000,dest_plate,384PP_AQ_BP
15,A2,af_src001,A3,A16,2000,dest_plate,384PP_AQ_BP
16,A2,af_src001,A3,A17,2000,dest_plate,384PP_AQ_BP
17,A2,af_src001,A3,A18,2000,dest_plate,384PP_AQ_BP
18,A3,af_src001,A5,A19,2000,dest_plate,384PP_AQ_BP
19,A3,af_src001,A5,A20,2000,dest_plate,384PP_AQ_BP
20,A3,af_src001,A5,A21,2000,dest_plate,384PP_AQ_BP
21,A3,af_src001,A5,A22,2000,dest_plate,384PP_AQ_BP
22,A3,af_src001,A5,A23,2000,dest_plate,384PP_AQ_BP
23,A3,af_src001,A5,A24,2000,dest_plate,384PP_AQ_BP
24,A3,af_src001,A5,B1,2000,dest_plate,384PP_AQ_BP
25,A3,af_src001,A5,B2,2000,dest_plate,384PP_AQ_BP
26,A3,af_src001,A5,B3,2000,dest_plate,384PP_AQ_BP
27,A4,af_src001,A7,B4,2000,dest_plate,384PP_AQ_BP
28,A4,af_src001,A7,B5,2000,dest_plate,384PP_AQ_BP
29,A4,af_src001,A7,B6,2000,dest_plate,384PP_AQ_BP
30,A4,af_src001,A7,B7,2000,dest_plate,384PP_AQ_BP
31,A4,af_src001,A7,B8,2000,dest_plate,384PP_AQ_BP
32,A4,af_src001,A7,B9,2000,dest_plate,384PP_AQ_BP
33,A4,af_src001,A7,B10,2000,dest_plate,384PP_AQ_BP
34,A4,af_src001,A7,B11,2000,dest_plate,384PP_AQ_BP
35,A4,af_src001,A7,B12,2000,dest_plate,384PP_AQ_BP
