,Sample Name,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
0,D7,af_src001,D13,A1,2000,dest_plate,384PP_AQ_BP
1,D7,af_src001,D13,A2,2000,dest_plate,384PP_AQ_BP
2,D7,af_src001,D13,A3,2000,dest_plate,384PP_AQ_BP
3,D7,af_src001,D13,A4,2000,dest_plate,384PP_AQ_BP
4,D7,af_src001,D13,A5,2000,dest_plate,384PP_AQ_BP
5,D7,af_src001,D13,A6,2000,dest_plate,384PP_AQ_BP
6,D7,af_src001,D13,A7,2000,dest_plate,384PP_AQ_BP
7,D7,af_src001,D13,A8,2000,dest_plate,384PP_AQ_BP
8,D7,af_src001,D13,A9,2000,dest_plate,384PP_AQ_BP
9,D8,af_src001,D15,A10,2000,dest_plate,384PP_AQ_BP
10,D8,af_src001,D15,A11,2000,dest_plate,384PP_AQ_BP
11,D8,af_src001,D15,A12,2000,dest_plate,384PP_AQ_BP
12,D8,af_src001,D15,A13,2000,dest_plate,384PP_AQ_BP
13,D8,af_src001,D15,A14,2000,dest_plate,384PP_AQ_BP
14,D8,af_src001,D15,A15,2000,dest_plate,384PP_AQ_BP
15,D8,af_src001,D15,A16,2000,dest_plate,384PP_AQ_BP
16,D8,af_src001,D15,A17,2000,dest_plate,384PP_AQ_BP
17,D8,af_src001,D15,A18,2000,dest_plate,384PP_AQ_BP
18,D9,af_src001,D17,A19,2000,dest_plate,384PP_AQ_BP
19,D9,af_src001,D17,A20,2000,dest_plate,384PP_AQ_BP
20,D9,af_src001,D17,A21,2000,dest_plate,384PP_AQ_BP
21,D9,af_src001,D17,A22,2000,dest_plate,384PP_AQ_BP
22,D9,af_src001,D17,A23,2000,dest_plate,384PP_AQ_BP
23,D9,af_src001,D17,A24,2000,dest_plate,384PP_AQ_BP
24,D9,af_src001,D17,B1,2000,dest_plate,384PP_AQ_BP
25,D9,af_src001,D17,B2,2000,dest_plate,384PP_AQ_BP
